"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Age-Adjusted Rate	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2017"	"2017"	272	4877989	4.5	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2019"	"2019"	309	4907965	4.9	6.3
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2017"	"2017"	33	740983	4.5	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2019"	"2019"	27	733603	3.7	3.7
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2017"	"2017"	344	7048088	4.1	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2019"	"2019"	380	7291843	4.2	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2017"	"2017"	159	3003855	4.3	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2019"	"2019"	180	3020985	4.8	6.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	1801	39337785	4.1	4.6
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	1909	39437610	4.2	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2017"	"2017"	267	5617421	4.3	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2019"	"2019"	296	5758486	4.5	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2017"	"2017"	186	3575324	4.3	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2019"	"2019"	200	3566022	4.3	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2017"	"2017"	51	957942	4.1	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2019"	"2019"	45	976668	3.4	4.6
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2017"	"2017"	18	697079	2.5	2.6
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2019"	"2019"	31	708253	4.3	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	1224	20977089	4.3	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2019"	"2019"	1254	21492056	4.1	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2017"	"2017"	458	10417031	4.1	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2019"	"2019"	488	10628020	4.1	4.6
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2017"	"2017"	52	1425763	2.9	3.6
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2019"	"2019"	44	1415615	2.5	3.1
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2017"	"2017"	95	1719745	4.7	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2019"	"2019"	117	1789060	5.6	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2017"	"2017"	611	12779893	4.1	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2019"	"2019"	616	12667017	4.1	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2017"	"2017"	350	6662068	4.6	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2019"	"2019"	351	6731010	4.3	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2017"	"2017"	176	3143734	4.6	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2019"	"2019"	199	3159596	5.1	6.3
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2017"	"2017"	170	2910892	5.0	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2019"	"2019"	173	2912635	5.1	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2017"	"2017"	246	4455590	4.6	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2019"	"2019"	244	4472345	4.4	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2017"	"2017"	252	4673673	4.7	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2019"	"2019"	234	4658285	4.3	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2017"	"2017"	96	1335743	5.1	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2019"	"2019"	97	1345770	5.4	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2017"	"2017"	278	6028186	4.0	4.6
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2019"	"2019"	270	6054954	3.7	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2017"	"2017"	397	6863560	4.8	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2019"	"2019"	417	6894883	4.9	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2017"	"2017"	566	9976752	4.5	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2019"	"2019"	605	9984795	4.8	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2017"	"2017"	307	5569283	4.8	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2019"	"2019"	301	5640053	4.5	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2017"	"2017"	156	2990674	4.3	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2019"	"2019"	201	2978227	5.6	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2017"	"2017"	340	6111382	4.6	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2019"	"2019"	349	6140475	4.5	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2017"	"2017"	64	1053862	4.6	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2019"	"2019"	67	1070123	4.5	6.3
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2017"	"2017"	110	1916998	4.9	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2019"	"2019"	117	1932571	5.2	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2017"	"2017"	173	2972097	5.0	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2019"	"2019"	128	3090771	3.6	4.1
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2017"	"2017"	77	1350395	4.6	5.7
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2019"	"2019"	94	1360783	4.9	6.9
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2017"	"2017"	460	8888147	4.3	5.2
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2019"	"2019"	481	8891258	4.3	5.4
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2017"	"2017"	113	2092844	4.5	5.4
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2019"	"2019"	117	2099634	4.2	5.6
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2017"	"2017"	922	19593849	3.9	4.7
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2019"	"2019"	893	19463131	3.7	4.6
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2017"	"2017"	517	10275758	4.3	5.0
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2019"	"2019"	504	10501384	3.9	4.8
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2017"	"2017"	36	756755	4.2	4.8
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2019"	"2019"	40	763724	4.8	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2017"	"2017"	693	11665706	4.9	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2019"	"2019"	674	11696507	4.6	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2017"	"2017"	215	3933602	4.8	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2019"	"2019"	220	3960676	4.7	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2017"	"2017"	246	4147294	4.7	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2019"	"2019"	237	4216116	4.4	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2017"	"2017"	732	12794679	4.4	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2019"	"2019"	736	12798883	4.4	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2017"	"2017"	72	1056554	5.3	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2019"	"2019"	75	1058158	5.5	7.1
