"Notes"	"Cancer Sites"	"Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"30-34 years"	"30-34"	20	154878	12.9
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"35-39 years"	"35-39"	37	155507	23.8
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"40-44 years"	"40-44"	73	149446	48.8
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"45-49 years"	"45-49"	146	161023	90.7
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"50-54 years"	"50-54"	230	166259	138.3
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"55-59 years"	"55-59"	418	175816	237.7
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"60-64 years "	"60-64"	516	165500	311.8
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"65-69 years"	"65-69"	654	143821	454.7
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"70-74 years"	"70-74"	679	113574	597.8
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"75-79 years"	"75-79"	643	80929	794.5
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"80-84 years"	"80-84"	551	56554	974.3
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"85+ years"	"85+"	691	59483	1161.7
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"25-29 years"	"25-29"	16	167987	9.5
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"35-39 years"	"35-39"	28	146877	19.1
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"40-44 years"	"40-44"	45	139950	32.2
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"45-49 years"	"45-49"	101	152553	66.2
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"50-54 years"	"50-54"	266	156674	169.8
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"55-59 years"	"55-59"	589	161680	364.3
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"60-64 years "	"60-64"	774	147927	523.2
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"65-69 years"	"65-69"	883	125119	705.7
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"70-74 years"	"70-74"	898	94974	945.5
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"75-79 years"	"75-79"	805	62329	1291.5
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"80-84 years"	"80-84"	661	38661	1709.7
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"85+ years"	"85+"	615	29822	2062.2
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"30-34 years"	"30-34"	19	158239	12.0
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"35-39 years"	"35-39"	35	156987	22.3
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"40-44 years"	"40-44"	57	149908	38.0
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"45-49 years"	"45-49"	116	159564	72.7
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"50-54 years"	"50-54"	176	158477	111.1
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"55-59 years"	"55-59"	371	174973	212.0
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"60-64 years "	"60-64"	533	169849	313.8
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"65-69 years"	"65-69"	626	148314	422.1
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"70-74 years"	"70-74"	735	123192	596.6
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"75-79 years"	"75-79"	659	87695	751.5
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"80-84 years"	"80-84"	568	59865	948.8
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"85+ years"	"85+"	741	60637	1222.0
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"30-34 years"	"30-34"	21	151683	13.8
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"35-39 years"	"35-39"	29	147448	19.7
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"40-44 years"	"40-44"	46	139432	33.0
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"45-49 years"	"45-49"	121	149534	80.9
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"50-54 years"	"50-54"	217	149277	145.4
