"Notes"	"Cancer Sites"	"Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Deaths	Population	Age-Adjusted Rate	Crude Rate
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	4689	2517486	138.4	186.3
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	5721	2360503	211.6	242.4
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	4660	2536133	131.1	183.7
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	5606	2371832	199.2	236.4
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	411	353997	119.4	116.1
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Male"	"M"	515	386986	164.5	133.1
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	447	350790	125.7	127.4
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	574	382813	173.5	149.9
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	5458	3545316	115.1	153.9
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	6550	3502772	158.6	187.0
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	5755	3669041	112.9	156.9
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	6748	3622802	151.1	186.3
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	3008	1527948	146.8	196.9
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	3508	1475907	208.6	237.7
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	2909	1538076	136.5	189.1
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	3573	1482909	203.1	240.9
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	28793	19783962	120.7	145.5
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Male"	"M"	30722	19553823	160.7	157.1
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2019"	"2019"	"Female"	"F"	28686	19829085	115.8	144.7
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2019"	"2019"	"Male"	"M"	30826	19608525	154.0	157.2
