YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2017,2017,WA,Washington,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,36.1,36.1,,,31.5,41.0,766,,,,,"Less than $15,000",,"(47.522278629, -120.47001079)",FV,FV1,Q018,VALUE,53,Income,"Less than $15,000",INC,INCLESS15
2017,2017,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,26.0,26.0,,,19.1,34.2,381,,,,,"$25,000 - $34,999",,"(41.708280193, -71.522470314)",FV,FV1,Q019,VALUE,44,Income,"$25,000 - $34,999",INC,INC2535
2017,2017,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,29.9,29.9,,,24.7,35.6,452,,,,,,Hispanic,"(42.27687047, -72.082690675)",FV,FV1,Q018,VALUE,25,Race/Ethnicity,Hispanic,RACE,RACEHIS
2017,2017,KY,Kentucky,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Asian,"(37.645970271, -84.774971048)",FV,FV1,Q018,VALUE,21,Race/Ethnicity,Asian,RACE,RACEASN
2017,2017,HI,Hawaii,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,17.1,17.1,,,14.5,20.1,1124,,45 - 54,,,,,"(21.304850435, -157.857749403)",FV,FV1,Q019,VALUE,15,Age (years),45 - 54,AGEYR,AGEYR4554
2017,2017,VT,Vermont,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Asian,"(43.625381239, -72.517640791)",FV,FV1,Q018,VALUE,50,Race/Ethnicity,Asian,RACE,RACEASN
2017,2017,NM,New Mexico,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,41.2,41.2,,,38.5,43.8,2613,,,,Male,,,"(34.520880952, -106.240580985)",FV,FV1,Q018,VALUE,35,Gender,Male,GEN,MALE
2017,2017,MO,Missouri,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,45.9,45.9,,,40.0,51.9,609,,,,,"Less than $15,000",,"(38.635790776, -92.566300053)",FV,FV1,Q018,VALUE,29,Income,"Less than $15,000",INC,INCLESS15
2017,2017,WV,West Virginia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,19.8,19.8,,,11.8,31.4,104,,,,,,Non-Hispanic Black,"(38.665510202, -80.712640135)",FV,FV1,Q019,VALUE,54,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2017,2017,AL,Alabama,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,25.5,25.5,,,21.6,29.9,679,,,Less than high school,,,,"(32.840571122, -86.631860762)",FV,FV1,Q019,VALUE,01,Education,Less than high school,EDU,EDUHS
2017,2017,GA,Georgia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,22.2,22.2,,,19.5,25.0,1342,,,High school graduate,,,,"(32.839681093, -83.627580346)",FV,FV1,Q019,VALUE,13,Education,High school graduate,EDU,EDUHSGRAD
2017,2017,ND,North Dakota,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,28.6,28.6,,,23.4,34.4,335,,18 - 24,,,,,"(47.475319779, -100.118421049)",FV,FV1,Q019,VALUE,38,Age (years),18 - 24,AGEYR,AGEYR1824
2017,2017,IA,Iowa,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,39.6,39.6,,,35.7,43.8,868,,,,,"$15,000 - $24,999",,"(42.469400913, -93.816490556)",FV,FV1,Q018,VALUE,19,Income,"$15,000 - $24,999",INC,INC1525
2017,2017,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,10.9,10.9,,,9.2,12.8,2916,,,,Female,,,"(43.655950113, -71.50036092)",FV,FV1,Q019,VALUE,33,Gender,Female,GEN,FEMALE
2017,2017,MN,Minnesota,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,24.0,24.0,,,14.9,36.4,188,,,,,,American Indian/Alaska Native,"(46.355648736, -94.794200503)",FV,FV1,Q019,VALUE,27,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2017,2017,GU,Guam,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,45.8,45.8,,,41.0,50.7,666,,,,Male,,,"(13.444304, 144.793731)",FV,FV1,Q018,VALUE,66,Gender,Male,GEN,MALE
2017,2017,GA,Georgia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,14.3,14.3,,,11.0,18.4,552,,,,,"$35,000 - $49,999",,"(32.839681093, -83.627580346)",FV,FV1,Q019,VALUE,13,Income,"$35,000 - $49,999",INC,INC3550
2017,2017,WA,Washington,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,35.9,35.9,,,34.3,37.5,5540,,,,Male,,,"(47.522278629, -120.47001079)",FV,FV1,Q018,VALUE,53,Gender,Male,GEN,MALE
