"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2017"	"2017"	"50-54 years"	"50-54"	23	322933	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2017"	"2017"	"55-59 years"	"55-59"	21	337496	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2017"	"2017"	"60-64 years "	"60-64"	42	313427	13.4
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2017"	"2017"	"65-69 years"	"65-69"	48	268940	17.8
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2017"	"2017"	"70-74 years"	"70-74"	37	208548	17.7
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2017"	"2017"	"75-79 years"	"75-79"	26	143258	18.1
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2017"	"2017"	"80-84 years"	"80-84"	21	95215	22.1
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2017"	"2017"	"85+ years"	"85+"	20	89305	22.4
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2019"	"2019"	"50-54 years"	"50-54"	17	307754	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2019"	"2019"	"55-59 years"	"55-59"	31	336455	9.2
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2019"	"2019"	"60-64 years "	"60-64"	50	321353	15.6
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2019"	"2019"	"65-69 years"	"65-69"	44	275993	15.9
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2019"	"2019"	"70-74 years"	"70-74"	40	226442	17.7
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2019"	"2019"	"75-79 years"	"75-79"	43	155951	27.6
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2019"	"2019"	"80-84 years"	"80-84"	37	101107	36.6
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2019"	"2019"	"85+ years"	"85+"	16	92027	17.4
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2017"	"2017"	"45-49 years"	"45-49"	21	428030	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2017"	"2017"	"50-54 years"	"50-54"	25	420787	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2017"	"2017"	"55-59 years"	"55-59"	37	436035	8.5
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2017"	"2017"	"60-64 years "	"60-64"	37	411249	9.0
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2017"	"2017"	"65-69 years"	"65-69"	43	382866	11.2
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2017"	"2017"	"70-74 years"	"70-74"	44	320318	13.7
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2017"	"2017"	"75-79 years"	"75-79"	39	222080	17.6
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2017"	"2017"	"80-84 years"	"80-84"	30	143509	20.9
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2017"	"2017"	"85+ years"	"85+"	36	138496	26.0
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2019"	"2019"	"45-49 years"	"45-49"	19	433051	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2019"	"2019"	"50-54 years"	"50-54"	17	418599	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2019"	"2019"	"55-59 years"	"55-59"	30	446758	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2019"	"2019"	"60-64 years "	"60-64"	42	433564	9.7
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2019"	"2019"	"65-69 years"	"65-69"	43	399238	10.8
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2019"	"2019"	"70-74 years"	"70-74"	66	355076	18.6
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2019"	"2019"	"75-79 years"	"75-79"	53	254113	20.9
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2019"	"2019"	"80-84 years"	"80-84"	36	159618	22.6
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2019"	"2019"	"85+ years"	"85+"	39	147743	26.4
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2017"	"2017"	"55-59 years"	"55-59"	20	197579	10.1
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2017"	"2017"	"60-64 years "	"60-64"	20	183920	10.9
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2017"	"2017"	"65-69 years"	"65-69"	20	161084	12.4
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2017"	"2017"	"70-74 years"	"70-74"	26	128739	20.2
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2017"	"2017"	"75-79 years"	"75-79"	23	90265	25.5
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2019"	"2019"	"60-64 years "	"60-64"	18	187875	9.6
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2019"	"2019"	"65-69 years"	"65-69"	29	164810	17.6
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2019"	"2019"	"70-74 years"	"70-74"	31	137890	22.5
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2019"	"2019"	"75-79 years"	"75-79"	22	97800	22.5
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2019"	"2019"	"85+ years"	"85+"	18	60444	29.8
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	"5-9 years"	"5-9"	20	2513348	0.8
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	"10-14 years"	"10-14"	20	2539886	0.8
