"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Deaths	Population	Age-Adjusted Rate	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	120	2517486	3.7	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	152	2360503	5.5	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	138	2536133	4.1	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	171	2371832	5.9	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	18	353997	4.9	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	19	382813	4.8	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	147	3545316	3.2	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	197	3502772	5.0	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	159	3669041	3.4	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	221	3622802	5.1	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	72	1527948	3.5	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	87	1475907	5.2	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	73	1538076	3.5	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	107	1482909	6.3	7.2
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	"Female"	"F"	778	19783962	3.3	3.9
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	"Male"	"M"	1023	19553823	5.1	5.2
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"Female"	"F"	833	19829085	3.5	4.2
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"Male"	"M"	1076	19608525	5.1	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2017"	"2017"	"Female"	"F"	127	2789649	4.0	4.6
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2017"	"2017"	"Male"	"M"	140	2827772	4.6	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2019"	"2019"	"Female"	"F"	139	2857610	4.0	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2019"	"2019"	"Male"	"M"	157	2900876	5.1	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2017"	"2017"	"Female"	"F"	83	1831503	3.7	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2017"	"2017"	"Male"	"M"	103	1743821	5.0	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2019"	"2019"	"Female"	"F"	92	1826990	3.6	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2019"	"2019"	"Male"	"M"	108	1739032	5.0	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2017"	"2017"	"Female"	"F"	21	494606	3.3	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2017"	"2017"	"Male"	"M"	30	463336	5.0	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2019"	"2019"	"Female"	"F"	16	504571	1.9	3.2
