"Notes"	"Cancer Sites"	"Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Age-Adjusted Rate	Age-Adjusted Rate Lower 95% Confidence Interval	Age-Adjusted Rate Upper 95% Confidence Interval	Age-Adjusted Rate Standard Error
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2017"	"2017"	10410	4877989	169.5	166.2	172.8	1.7
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	10266	4907965	160.3	157.1	163.5	1.6
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	926	740983	139.5	130.0	149.4	4.9
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	1021	733603	147.6	138.1	157.5	4.9
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	12008	7048088	134.9	132.4	137.3	1.3
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	12503	7291843	130.3	128.0	132.6	1.2
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	6516	3003855	173.3	169.1	177.7	2.2
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	6482	3020985	165.2	161.1	169.3	2.1
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	59515	39337785	137.6	136.4	138.7	0.6
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2019"	"2019"	59512	39437610	131.9	130.9	133.0	0.5
	"All Cancer Sites Combined"	"0"	"Colorado"	"08"	"2017"	"2017"	7829	5617421	131.1	128.1	134.1	1.5
	"All Cancer Sites Combined"	"0"	"Colorado"	"08"	"2019"	"2019"	7986	5758486	126.0	123.2	128.8	1.4
	"All Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2017"	"2017"	6608	3575324	139.8	136.4	143.3	1.8
	"All Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2019"	"2019"	6496	3566022	131.8	128.6	135.2	1.7
	"All Cancer Sites Combined"	"0"	"Delaware"	"10"	"2017"	"2017"	2085	957942	160.5	153.6	167.8	3.6
	"All Cancer Sites Combined"	"0"	"Delaware"	"10"	"2019"	"2019"	2073	976668	151.0	144.4	157.8	3.4
	"All Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2017"	"2017"	1031	697079	152.1	142.8	161.9	4.8
	"All Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2019"	"2019"	1025	708253	147.2	138.2	156.6	4.7
	"All Cancer Sites Combined"	"0"	"Florida"	"12"	"2017"	"2017"	45129	20977089	145.3	143.9	146.6	0.7
	"All Cancer Sites Combined"	"0"	"Florida"	"12"	"2019"	"2019"	45583	21492056	138.4	137.1	139.7	0.7
	"All Cancer Sites Combined"	"0"	"Georgia"	"13"	"2017"	"2017"	17135	10417031	155.4	153.0	157.8	1.2
	"All Cancer Sites Combined"	"0"	"Georgia"	"13"	"2019"	"2019"	17756	10628020	151.3	149.0	153.6	1.2
	"All Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2017"	"2017"	2456	1425763	128.1	123.0	133.5	2.7
	"All Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2019"	"2019"	2500	1415615	126.7	121.6	132.0	2.6
	"All Cancer Sites Combined"	"0"	"Idaho"	"16"	"2017"	"2017"	3020	1719745	153.4	147.9	159.1	2.8
	"All Cancer Sites Combined"	"0"	"Idaho"	"16"	"2019"	"2019"	2928	1789060	138.4	133.3	143.6	2.6
	"All Cancer Sites Combined"	"0"	"Illinois"	"17"	"2017"	"2017"	24150	12779893	158.5	156.5	160.6	1.0
	"All Cancer Sites Combined"	"0"	"Illinois"	"17"	"2019"	"2019"	23902	12667017	151.9	150.0	153.9	1.0
	"All Cancer Sites Combined"	"0"	"Indiana"	"18"	"2017"	"2017"	13462	6662068	170.6	167.7	173.6	1.5
	"All Cancer Sites Combined"	"0"	"Indiana"	"18"	"2019"	"2019"	13515	6731010	163.6	160.8	166.4	1.4
	"All Cancer Sites Combined"	"0"	"Iowa"	"19"	"2017"	"2017"	6449	3143734	158.0	154.1	162.0	2.0
	"All Cancer Sites Combined"	"0"	"Iowa"	"19"	"2019"	"2019"	6335	3159596	150.6	146.8	154.5	1.9
	"All Cancer Sites Combined"	"0"	"Kansas"	"20"	"2017"	"2017"	5493	2910892	157.3	153.1	161.6	2.2
	"All Cancer Sites Combined"	"0"	"Kansas"	"20"	"2019"	"2019"	5619	2912635	154.0	149.9	158.2	2.1
	"All Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2017"	"2017"	10145	4455590	186.0	182.3	189.7	1.9
	"All Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2019"	"2019"	9974	4472345	176.1	172.6	179.7	1.8
